"???","????","??","???","?(%)"
"0","??","1175","943","80.26"
"1","???","69","17","24.64"
"2","???","18","3","16.67"
"3","???","17","6","35.29"
"4","???","24","3","12.50"
"5","???","15","3","20.00"
"6","???","14","3","21.43"
"7","???","22","9","40.91"
"8","???","28","9","32.14"
"9","???","19","12","63.16"
"10","???","15","14","93.33"
"11","???","39","37","94.87"
"12","???","39","38","97.44"
"13","???","102","100","98.04"
"14","????","54","52","96.30"
"15","???","30","7","23.33"
"16","???","15","13","86.67"
"17","???","12","12","100.00"
"18","???","12","12","100.00"
"19","???","12","12","100.00"
"20","???","22","5","22.73"
"21","???","22","22","100.00"
"22","???","27","25","92.59"
"23","???","46","46","100.00"
"24","???","18","17","94.44"
"25","???","12","12","100.00"
"26","???","25","25","100.00"
"27","???","65","63","96.92"
"28","???","48","48","100.00"
"29","???","15","14","93.33"
"30","????","14","11","78.57"
"31","???","9","7","77.78"
"32","???","12","11","91.67"
"33","???","22","22","100.00"
"34","???","27","26","96.30"
"35","???","16","16","100.00"
"36","???","15","14","93.33"
"37","???","13","13","100.00"
"38","???","16","16","100.00"
"39","???","15","14","93.33"
"40","???","34","34","100.00"
"41","???","10","9","90.00"
"42","???","23","23","100.00"
"43","???","23","22","95.65"
"44","???","15","14","93.33"
"45","???","13","13","100.00"
"46","????","28","27","96.43"
"47","???","14","12","85.71"
